id,name,address,postcode,city,category,tags,creationyear,description
"le-garage","Le Garage","Route de Villejust","91620","Nozay","Tiers-lieu","fablab|R&D","2014","Fablab d'entreprise d'Alcatel-Lucent / Bell Labs."
"le-grand-studio","Le Grand Studio","1 place Paul Verlaine","92100","Boulogne Billancourt","Entreprise","socialmedia|B2B","2009","Le Grand Studio est une agence spécialisée dans les médias sociaux."
"le-hub-agence","Le Hub Agence","14 rue Crespin du Gast","75011","Paris","Entreprise","tourisme|culture|data","2007","Conseil, stratégie numérique, accompagnement et développement  d'outils numériques à destination des collectivités et institutions, acteurs culturels, touristiques et les entreprises."
"le-lab-coworking","Le Lab Coworking","7 cour des Petites Ecuries","75010","Paris","Tiers-lieu","coworking","2013","Le Lab Coworking est un nouvel espace de travail partagé, ouvert et créatif, en plein coeur du 10ème arrondissement de Paris. Il propose plus de 300m2 de bureaux équipés et meublés."
"le-labo","Le Labo","45 rue richard Gardebled",93110,"Rosny-sous-bois","Tiers-lieu","makerspace|fablab|médiation",2015,"Le Laboratoire Fabuleux est un lieu ouvert qui valorise la médiation et la fabrication numérique. Vous y trouverez divers matériels et consommables qui seront mis à disposition des usagers, dans le cadre d’ateliers ou de suivi de projets."
"le-loft-50-partners","Le loft 50 Partners","62 rue Jean-Jacques Rousseau","75001","Paris","Incubateur","pépinière|coworking","2013","Le Loft 50 Partners c'est des bureaux équipés dédiés aux startups, un espace de coworking, des salles de réunion, un programme d'événements, de conférences et de formations."
"le-loop","Le Loop","Avenue Lucien Descaves","75014","Paris","Tiers-lieu","hackerspace",,"Le Loop, Laboratoire Ouvert Ou Pas, est un hackerspace sans lieu fixe qui accueille barbus, curieux et projets créatifs."
"le-marteau-rouge","Le Marteau Rouge","9 rue du 4 septembre","75002","Paris","Entreprise","artisan|avis","2013","Site d'avis de particuliers sur les pros du batiment ayant realisé leurs travaux. C'est l'outil indispensable des chantiers réussis."
"le-monde-3d","LE MONDE 3D","6 rue duret",75116,"Paris","Entreprise","impression3d|prototypage rapide|numérisation 3D|modélisation 3D",2014,"LE MONDE 3D est une entreprise française située dans le 16 ème arrondissement de Paris et spécialisée dans l'impression, la numérisation, ainsi que la modélisation 3D.Avec LE MONDE 3D la seule limite reste votre imagination."
"le-petit-ballon","Le Petit Ballon","43 rue du rocher","75008",,"Entreprise",,"2011","Le Petit Ballon ""Votre sommelier à la maison"" est le leader français du vin par abonnement : chaque mois découvrez 2 bouteilles de vin livrée à la maison, apprenez à les déguster en vidéo et bénéficiez des ventes privées pour les acheter à prix canon"
"le-petit-fablab-de-paris","Le Petit FabLab de Paris","156 rue oberkampf","75011","Paris","Tiers-lieu",,"2013","Le Petit FabLab de Paris est un atelier de fabrication numérique dédié aux projets collaboratifs de bien commun. Des horaires dédiés permettent, sur plusieurs mois, de pousser les projets le plus loin possible dans leur réalisation."
"le-petit-musc","Le Petit Musc","28 rue du petit musc","75004","Paris","Tiers-lieu","coworking","2013","Espace de 100m2 dans un loft situé entre Bastille et St Paul conçu et aménagé pour accueillir 20 personnes."
"le-showroom-remix-coworking","Le Showroom - Remix Coworking","rue des fontaines du temple","75003","paris","Tiers-lieu","coworking|showroom","2013","C'est l'un des plus beaux lieux de coworking existants, savant mélange de minimalisme et de néo-baroque, et c'est aussi le seul lieu où les startups peuvent exposer leurs produits - Un lieu d'échange (événements RP, conférences, apéros ;-) )"
"le-studio-du-dessous","Le Studio du Dessous","5","avenue Richerand 75010 Paris",,"Entreprise",,"2009","Jours après Lunes est la seule marque à travailler autour de l'Innovation, et la recherche de valeurs ajoutées pour améliorer le confort, la douceur et la durabilité des sous-vêtements pour bébé, enfants et jeunes filles.\\\\\\\\nwww.jours-apres-lunes.com"
"le-tank","Le FabClub","50 rue de Montreuil",75011,"Paris","Tiers-lieu","makerspace|coworking|fablab",2015,"Le FabClub est un atelier de fabrication numérique  dédié au  prototypage et  à l'innovation, pour aider à réparer, transformer et créer localement."
"le-tank-coworking","Le Tank coworking","22 bis rue des Taillandiers",75011,"Paris","Tiers-lieu","coworking",2015,"Le Tank est un espace de coworking qui favorise la création, nourrit l'inspiration et encourage l'ambition des esprits créatifs du numérique à Paris."
"le-wattman","Le Wattman","28","rue du Chemin Vert 75011 Paris",,"Entreprise",,"2011","Le Wattman est une agence digitale innovante spécialisée dans le conseil en stratégie, le design et le développement de sites web, d'applications mobiles & d'applications SaaS à destination des annonceurs, start-ups ou grands comptes."
"leankr","Leankr","86 avenue des Ternes","75017","Paris","Entreprise",,"2012",
"lecko","Lecko","29 rue du Louvre",75002,"Paris","Entreprise","conseil|réseaux sociaux|communication|rh",2005,"Nous sommes un cabinet de conseil en organisation pour la transformation numérique."
"leeaarn","Leeaarn","62 rue Jean-Jacques Rousseau","75001","Paris","Entreprise","autodidacte|université collaborative","2012","Leeaarn est une université collaborative pour entrepreneurs et professionnels du numerique qui permet de connecter ceux qui savent et ceux qui veulent apprendre."
"leetchi","Leetchi","1 cité Paradis","75010","Paris","Entreprise","paiement","2009","Leetchi est un service web gratuit et sécurisé qui permet de récolter de l'argent à plusieurs."
"leg-si","Leg & Si","1, rue Albert Einstein Cité Descartes - Champs sur Marne","77437","Marne La Vallee Cedex 02","Entreprise",,"2005","Un des leaders européens en enregistrement de domaines."
"legos","Legos","35, rue Dantzig","75015","Paris","Entreprise","télécoms","2002","Legos est le premier opérateur de téléphonie fixe et mobile « pure player » en marque blanche, à destination des opérateurs locaux et des intégrateurs"
"lendosphere","Lendosphere","71 boulevard Voltaire",75011,"Paris","Entreprise","environnement|crowdlending",2014,"Lendosphere est la première plateforme de financement participatif en prêts rémunérés dédiée à des projets de développement durable"
"lengow","lengow","22 Rue St-Augustin","75002","Paris","Entreprise",,"2009","Lengow aide les e-commerçants à référencer leurs catalogues produits sur tous les supports de diffusion e-commerce :Comparateurs de prix, Places de marché, Régies d'Affiliation & Retargeting, RTB & AdExchange, Réseaux sociaux, SEM ou encore Mobile."
"lepoles-webforce3","LePoleS WebForce3","11 allée saint exupéry",92390,"villeneuve la garenne","Communauté","intégrateur|développeur|einsertion|ess",1992,"ESS : Cité de la caravelle (92) . 26 ans dans le quartier. 130 salariés. 1er Ecole du Web en pied de barre ."
"les-argonautes","Les Argonautes","224 rue du Faubourg Saint-Antoine","75012","Paris","Entreprise","hybride|responsive|b2b","1994","Les Argonautes est une agence de communication à l'ère du digital, une agence hybride et responsive."
"les-bons-profs","Les Bons Profs","123 rue du Faubourg Saint Antoine","75011","Paris","Entreprise","éducation|ressources","2011","Les Bons Profs proposent une solution de soutien scolaire en ligne, innovante et plébiscitée par les élèves et leurs parents."
"les-chinois","Les Chinois","4 rue de Jarente","75004","Paris","Entreprise","communication|interactif|b2b","2002","Les Chinois est une agence de communication interactive."
"les-colis-du-boucher","Les Colis du Boucher","82 rue de Rome","75008","Paris","Entreprise",,"2010","Les Colis du Boucher sont nés d’une envie simple et gourmande : manger de la viande de qualité à un prix raisonnable. Une solution : se regrouper entre consommateurs pour acheter directement aux éleveurs garantissant ce plaisir."
"les-diners-d-eloise","Les dîners d'Eloïse","142 rue Montmartre","75002","Paris","Entreprise","services de proximité|b2b","2008","Société de Chefs cuisiniers à domicile qui réalisent pour une clientèle de particuliers ou d’entreprises des dîners équivalents à ceux de restaurants gastronomiques, l’intimité et le service personnalisé à domicile en plus"
