status,unregistered,guest,title,participants,cabinet,guestid,host,date,id,guest_contact_country,guest_code,guest_name,guest_cost_min,guest_main_category,guest_acronym,guest_accredited,guest_cost_max,guest_fte,guest_cost_absolute,guest_id,guest_sub_category
registered,,,Investment Plan,1,Cabinet members of President Jean-Claude Juncker,9262523d55de46a889cc04264d36d38b,Paulina Dejmek Hack,2015-01-23T00:00:00,b771f93a87af9d90771ba56d1c998e1c,215,290136415264-17,Swiss Re Ltd.,,2,,1,,3,150000,9262523d55de46a889cc04264d36d38b,21
registered,,,Developments in global consulting,1,Cabinet members of President Jean-Claude Juncker,97260363865646908e661700cb6a1960,Sandra Kramer Martin Selmayr,2015-01-23T00:00:00,828750c5be95cfcc43a66e40ce01b3fa,82,731301415740-43,Egon Zehnder International GmbH,,3,,,9999,0.25,,97260363865646908e661700cb6a1960,31
registered,,,Investment Plan,1,Cabinet members of President Jean-Claude Juncker,a0995d8c0bc84b12bcdbda469b4966b5,Paulina Dejmek Hack,2015-01-23T00:00:00,876a39aa06d8e9dedea5e6aab2c278ca,21,67611102869-33,Association européenne du cautionnement mutuel,,2,AECM,,50000,0,,a0995d8c0bc84b12bcdbda469b4966b5,25
registered,,,Concurrence,1,Cabinet members of President Jean-Claude Juncker,f45aa50fc4bd4d4a992d2f7a7170d390,Paulina Dejmek Hack,2015-01-23T00:00:00,882fb163e1076ed2ac84a7598af6d9b9,21,54210841652-13,Avisa Partners,1750000,1,,4,1999999,11,,f45aa50fc4bd4d4a992d2f7a7170d390,11
registered,,,Circular Economy,3,Cabinet members of President Jean-Claude Juncker,1f7b42c6f69845fb8aee1ae4abe269f3,Telmo Baltazar,2015-01-23T00:00:00,fc3ddc0c1fdaba9f6bbe6f9ff51c7a85,21,74946923461-59,European Metal Trade & Recycling Federation,10000,2,EUROMETREC,,24999,0.5,,1f7b42c6f69845fb8aee1ae4abe269f3,25
registered,,,Circular Economy,3,Cabinet members of President Jean-Claude Juncker,8af1a3f5aaed452fbfdc5e67757b4046,Telmo Baltazar,2015-01-23T00:00:00,fc3ddc0c1fdaba9f6bbe6f9ff51c7a85,21,92257198818-48,European Ferrous Recovery & Recycling Federation,10000,2,EFR,,24999,0.5,,8af1a3f5aaed452fbfdc5e67757b4046,25
registered,,,Circular Economy,3,Cabinet members of President Jean-Claude Juncker,c7990f8b228942249f8bb4fd3e0b6b37,Telmo Baltazar,2015-01-23T00:00:00,fc3ddc0c1fdaba9f6bbe6f9ff51c7a85,21,764633015511-42,European Recycling Industries' Confederation,,2,EuRIC,,,1,,c7990f8b228942249f8bb4fd3e0b6b37,25
registered,,,Investment Plan,1,Cabinet members of President Jean-Claude Juncker,82978772cb2f4cc0a2eb2206f007fc55,Paulina Dejmek Hack,2015-01-23T00:00:00,08116fdd7d4a203871ea6dd926650696,21,5265780509-97,American Chamber of Commerce to the European Union,900000,2,AmCham EU,9,999999,6.5,,82978772cb2f4cc0a2eb2206f007fc55,25
registered,,,New Commission Priorities,1,Cabinet members of President Jean-Claude Juncker,41723cdabaf3462382329fe6c03c6391,Paulina Dejmek Hack,2015-01-22T00:00:00,03f524c3d7344a921123c9bc21065287,214,39912257528-48,Confederation of Swedish Enterprise,500000,2,,2,599999,4.5,,41723cdabaf3462382329fe6c03c6391,25
registered,,,Situation et priorités économiques,1,Cabinet members of President Jean-Claude Juncker,4fe70a269a59465d8846a5c4d1a444fa,Luc Tholoniat,2015-01-22T00:00:00,dc15cf0a519f7c56ed127769d002d9fd,82,22400601191-42,Deutscher Industrie- und Handelskammertag e.V.,,2,DIHK,15,,18.25,2700000,4fe70a269a59465d8846a5c4d1a444fa,25
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,6558cdd88e2e44219d244170bc561e40,Pauline Rouch,2015-01-21T00:00:00,ef127c413ef441f1cfb0b4fa246da662,75,344910313351-14,European Producers Club,,2,EPC,,,1,110000,6558cdd88e2e44219d244170bc561e40,25
registered,,,Priorités sociales,1,Cabinet members of President Jean-Claude Juncker,a674f6b8cb3a482eac9469e668032897,Luc Tholoniat,2015-01-21T00:00:00,c60d126fe0d7de844a8774d6c10ca5a4,21,3945154610-54,European Anti Poverty Network,,3,EAPN,5,9999,6.75,,a674f6b8cb3a482eac9469e668032897,31
registered,,,Investment Plan,1,Cabinet members of President Jean-Claude Juncker,ccaa0cdcb58949db901da30a473518ea,Paulina Dejmek Hack,2015-01-20T00:00:00,aeb12bcc0c642fe1b11abb613e756223,234,319148015141-55,"McGraw Hill Financial, Inc.",500000,2,MHFI,1,599999,2.25,,ccaa0cdcb58949db901da30a473518ea,21
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,b844e28187b74ea3beebadbef0236d27,Pauline Rouch,2015-01-20T00:00:00,0126c39f7122635e2f1b837957ea788c,214,381805014604-45,TeliaSonera AB,200000,2,,2,299999,2,,b844e28187b74ea3beebadbef0236d27,21
