id,status,guest,host,cabinet,date,guestid,title,unregistered,participants
56c6321eed7a52f5e94384bca9c83bdf,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-30T00:00:00,db7935b85ade44f3a5b003a272eae291,Capital Markets Union,,1
124b6def018a803932bf661411c089cc,registered,,Leon Delvaux,Cabinet members of President Jean-Claude Juncker,2015-01-30T00:00:00,94fbaacea67446cc9530b8cc5892e442,Trade,,1
29b1e354023d017f6d3e544f401f1780,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-29T00:00:00,661032156e3143f7be08a999b48e23d8,Energy Union,,1
b313c7749c1e16e6865bc46d4ecc30e6,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-29T00:00:00,388d31d917304c4f859b029541786e9d,Digital Single Market,,1
1387b9ee98966c211fdce126e9154fbb,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-29T00:00:00,768c93c241d64bd5a45c92e810268b98,Digital Single Market,,1
c4f9edd4f212e99d037c7ec8406d761d,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-29T00:00:00,4054501cc04842ec80b2b29e7d17fb38,New Commission's priorities,,1
7ee4087af5d548060bd5106d801cbebe,registered,,Carlo Zadra,Cabinet members of President Jean-Claude Juncker,2015-01-28T00:00:00,12cd636e447347e491043c02be353e2c,Data protection issues,,1
90e903b8fe5f1069f618710e31a893ca,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-27T00:00:00,5263e8a636dd49b28e4d1252b53c5fb6,Digital Single Market,,1
cda1e0ddb25bd9e437556e43aaac2e39,registered,,Telmo Baltazar Martin Selmayr,Cabinet members of President Jean-Claude Juncker,2015-02-26T00:00:00,996c56b9a1354c5392858792eb95261b,Current EU Policy Issues,,1
c59a15cf28bbf105aab926a920c31ba2,registered,,Martin Selmayr,Cabinet members of President Jean-Claude Juncker,2015-01-27T00:00:00,287fb48276334ca596dcdcd639fc0553,Current EU Policy Issues,,1
de964e47e57a4c7d2bd5ffcca4d0327b,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-26T00:00:00,5b8082a143944f45be43a6de730ecb72,Digital Single Market,,1
6c1c83a6402cbcb24d5d5150878eab0b,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-26T00:00:00,aac5ca5c751449f78d0c706904a23cd3,Energy Union,,1
9d39b806f435294c4b73f512e8eeb673,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-26T00:00:00,ecbcb50dae0d41499e12a474ad7619af,Energy Union,,1
b771f93a87af9d90771ba56d1c998e1c,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-23T00:00:00,9262523d55de46a889cc04264d36d38b,Investment Plan,,1
828750c5be95cfcc43a66e40ce01b3fa,registered,,Sandra Kramer Martin Selmayr,Cabinet members of President Jean-Claude Juncker,2015-01-23T00:00:00,97260363865646908e661700cb6a1960,Developments in global consulting,,1
876a39aa06d8e9dedea5e6aab2c278ca,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-23T00:00:00,a0995d8c0bc84b12bcdbda469b4966b5,Investment Plan,,1
882fb163e1076ed2ac84a7598af6d9b9,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-23T00:00:00,f45aa50fc4bd4d4a992d2f7a7170d390,Concurrence,,1
fc3ddc0c1fdaba9f6bbe6f9ff51c7a85,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-23T00:00:00,1f7b42c6f69845fb8aee1ae4abe269f3,Circular Economy,,3
fc3ddc0c1fdaba9f6bbe6f9ff51c7a85,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-23T00:00:00,8af1a3f5aaed452fbfdc5e67757b4046,Circular Economy,,3
fc3ddc0c1fdaba9f6bbe6f9ff51c7a85,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-23T00:00:00,c7990f8b228942249f8bb4fd3e0b6b37,Circular Economy,,3
08116fdd7d4a203871ea6dd926650696,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-23T00:00:00,82978772cb2f4cc0a2eb2206f007fc55,Investment Plan,,1
03f524c3d7344a921123c9bc21065287,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-22T00:00:00,41723cdabaf3462382329fe6c03c6391,New Commission Priorities,,1
dc15cf0a519f7c56ed127769d002d9fd,registered,,Luc Tholoniat,Cabinet members of President Jean-Claude Juncker,2015-01-22T00:00:00,4fe70a269a59465d8846a5c4d1a444fa,Situation et priorités économiques,,1
ef127c413ef441f1cfb0b4fa246da662,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-21T00:00:00,6558cdd88e2e44219d244170bc561e40,Digital Single Market,,1
c60d126fe0d7de844a8774d6c10ca5a4,registered,,Luc Tholoniat,Cabinet members of President Jean-Claude Juncker,2015-01-21T00:00:00,a674f6b8cb3a482eac9469e668032897,Priorités sociales,,1
aeb12bcc0c642fe1b11abb613e756223,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-20T00:00:00,ccaa0cdcb58949db901da30a473518ea,Investment Plan,,1
0126c39f7122635e2f1b837957ea788c,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-20T00:00:00,b844e28187b74ea3beebadbef0236d27,Digital Single Market,,1
48cf4655738ac2c7d0bbe4bae7d707f1,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-20T00:00:00,996c56b9a1354c5392858792eb95261b,Investing in EU,,1
0a827c69233aa93f3949342c4b820aa7,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-20T00:00:00,cec6c47ad5074ed7af692a0266181ec0,Aviation in Europe,,1
aa6c0b765faf818bb929fdeb2620b039,registered,,Martin Selmayr,Cabinet members of President Jean-Claude Juncker,2015-01-20T00:00:00,d48189547abc45188ccba0e5c92a84ca,The dialogue between Churches and the EU,,1
3cb9940de77ee23ad75f08426bd43536,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-20T00:00:00,c472787cf7a14452a64284655bef58bc,Digital Single Market,,1
eb84545d662d11da81d9f455ba2cc174,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-01-19T00:00:00,369f73cbcd63403cbbee3043af38b12b,EU Aviation and Investment in Europe,,1
c4453da9a37a97f138d9ed31d43b2b6e,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-19T00:00:00,867f7df0f37247eab17e3f8d232e328c,Digital Single Market,,1
202e4d5edd18a90710220158bd743968,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-01-19T00:00:00,b6ef67d9a37c49a6bf7421f62c479576,Capital Markets Union,,1
